date,time,id,m_20,m_25,f_20,f_25
20211031,3,11350,18097.3167,15972.2272,19320.4499,15939.7143
20211031,3,11380,12451.679,15589.8837,15176.2863,17515.4982
20211031,3,11410,12311.3709,14576.1751,19675.2738,16577.127
20211031,3,11440,14347.2547,18529.196,21333.7126,22459.6573
20211031,3,11470,9900.9833,11575.8769,11343.2279,12082.715
20211031,3,11500,13364.3559,21528.7991,17616.8393,25536.4504
20211031,3,11530,8981.5267,14101.8794,11605.2078,14023.0485
20211031,3,11545,5674.1211,9948.5366,6708.4325,9537.0097
20211031,3,11560,10595.1428,17870.5815,13373.2185,19546.8664
20211031,3,11590,14494.8773,19351.8396,17880.4854,18493.3288
20211031,3,11620,21197.5543,35296.8039,25818.435,32230.6527
20211031,3,11650,11803.671,13762.9717,14050.1242,15144.1238
20211031,3,11680,16914.5176,21460.2576,21153.1939,24089.4129
20211031,3,11710,17878.1305,24071.9113,21869.5586,27179.3687
20211031,3,11740,12979.9928,16643.9371,15164.3825,17869.2601
20211031,4,11110,8531.0961,8910.0417,10317.2511,8592.1426
20211031,4,11140,5764.7935,7726.837,7943.1767,8384.5798
20211031,4,11170,7953.0732,10971.8489,9606.4042,12603.404
20211031,4,11200,10712.9225,13143.1833,13184.8245,13727.5731
20211031,4,11215,13730.5255,17675.9857,18076.937,18633.3014
20211031,4,11230,15030.3485,15612.8095,21090.4879,14982.282
20211031,4,11260,10418.7118,13638.2647,11775.7356,14760.4619
20211031,4,11290,15648.9174,16255.8079,21605.6149,15937.3905
20211031,4,11305,9304.6305,11080.0501,12048.7839,10903.1582
20211031,4,11320,8049.9964,9438.6593,9153.4377,9569.9742
20211031,4,11350,18098.9595,16032.1582,19284.6355,15898.3231
20211031,4,11380,12430.9767,15507.7288,15222.2024,17516.7406
20211031,4,11410,12258.9874,14644.6696,19678.1331,16532.3578
20211031,4,11440,14384.1408,18494.7076,21353.4208,22570.893
20211031,4,11470,9901.7398,11572.9581,11278.9763,12010.8881
20211031,4,11500,13421.5313,21538.1412,17684.2437,25629.8536
20211031,4,11530,9060.6251,14118.0198,11681.5539,14066.0015
20211031,4,11545,5638.1074,9859.3098,6664.8136,9403.4135
20211031,4,11560,10536.6736,17898.1573,13263.3373,19512.3786
20211031,4,11590,14465.0755,19265.8668,17807.2223,18445.4974
20211031,4,11620,21157.1342,35338.8901,25845.6379,32296.1621
20211031,4,11650,11815.985,13842.587,14054.5561,15249.1319
20211031,4,11680,17007.953,21335.7141,21111.2864,23969.1052
