연번,업종명,상호,영업소소재지(도로 명),"실외, 실내",실외흡연실 형태,
146,일반음식점,이디도 커피 코리아,"서울특별시 광진구 자양로 18길 12-4 (구의동,(1층))",실내,,
147,일반음식점,나주본가,"서울특별시 광진구 자양로 312, 욱현빌딩 2층 (구의동)",실내,,
148,종합체육시설업,루(ROO),서울특별시 광진구 워커힐로 177 (광장동),실내,,
149,청소년게임제공업,프렌즈샵,"서울특별시 광진구 군자로 49, 1층 (화양동)",실내,,
150,청소년게임제공업,FRIENDS SHOP,"서울특별시 광진구 능동로 438, 1층 (중곡동)",실내,,
151,체력단련장업,몸가짐 퍼스널트레이닝,"서울특별시 광진구 광나루로 396, 3층 (화양동)",실내,,
152,체력단련장업,바디 퍼포먼스 짐,"서울특별시 광진구 광나루로 604, 지하1층 (구의동, 진넥스 베르디엠)",실내,,
153,체력단련장업,마크짐 휘트니스 - 강변역점,"서울특별시 광진구 구의강변로 45, 5층 (구의동, 구의동 복합빌딩)",실내,,
154,체력단련장업,바디앤소울,"서울특별시 광진구 군자로 137 (군자동,2층)",실내,,
155,체력단련장업,바디퍼포먼스짐,"서울특별시 광진구 군자로 70, 2층 (군자동, 동일흥업주식회사)",실내,,
156,체력단련장업,머슬킹,"서울특별시 광진구 면목로 126, 3,4층 (중곡동, 중곡동주차빌딩)",실내,,
157,체력단련장업,서울특별시 동부여성발전센터,"서울특별시 광진구 아차산로 30길 36 (자양동, 서울특별시 동부여성발전센타)",실내,,
158,체력단련장업,순수여성헬스,"서울특별시 광진구 아차산로 511 (광장동,지층)",실내,,
159,체력단련장업,크로스핏 라온2,"서울특별시 광진구 용마산로 36, 지층 (중곡동)",실내,,
160,체육도장업,강변복싱다이어트클럽,"서울특별시 광진구 구의강변로 86, 3층 303,304호 (구의동, 구의동강변리치타워)",실내,,
161,체육도장업,용인대태권도,"서울특별시 광진구 군자로 75 (군자동, 지장빌딩)",실내,,
162,체육도장업,화랑체육관,"서울특별시 광진구 뚝섬로 54길 74 (자양동, 자양5차현대아파트)",실내,,
163,체육도장업,광남체육관,"서울특별시 광진구 아차산로 522, 상가동 301호 (광장동, 현대8차@)",실내,,
164,체육도장업,계룡체육관,"서울특별시 광진구 아차산로 710 (광장동,현대프라자2층201호)",실내,,
165,체육도장업,드림아이 태권도,서울특별시 광진구 자양로 53길 21 (구의동),실내,,
166,체육도장업,노블뮤직복싱휘트니스,"서울특별시 광진구 자양로 86, 지하1층 (자양동)",실내,,
167,체육시설업,소재섭탁구장,"서울특별시 광진구 면목로 160, 2층 (중곡동, 경일빌딩)",실내,,
168,체육시설업,백스테니스아카데미,서울특별시 광진구 아차산로 453 (구의동),실내,,
169,휴게음식점,랭스터디카페,"서울특별시 광진구 광나루로 390, 2층 (화양동)",실내,,
170,휴게음식점,엔제리너스커피건대역점(Angel-in-us coffee),"서울특별시 광진구 능동로 103, 지하1,2층 (화양동)",실내,,
171,휴게음식점,탐앤탐스 군자역점,"서울특별시 광진구 능동로 296, 1층,2층 (능동, 퓨처큐브타워)",실내,,
172,휴게음식점,투썸플레이스,"서울특별시 광진구 능동로 90, 1층 (자양동)",실내,,
173,휴게음식점,카페베네건대2호점,"서울특별시 광진구 아차산로 207 (화양동,1층)",실내,,
174,휴게음식점,탐앤탐스탐스커버리건대점,"서울특별시 광진구 아차산로 236, 1층,2층,3층,4층 (자양동)",실내,,
175,휴게음식점,위드미 건대입구역점,"서울특별시 광진구 아차산로 243, 2호선 건대입구역 2층 212-007호 (화양동)",실내,,
176,휴게음식점,이디야,"서울특별시 광진구 아차산로 30길 8, 2층 (자양동)",실내,,
177,휴게음식점,피조니(pizoni),"서울특별시 광진구 용마산로 29길 40, 우분트 1층 (중곡동)",실내,,
