"","address","purpose1","purpose2","lon","lat"
"12839","서울특별시 서초구 서초동 1544-3","제1종근린생활시설","제1종근린생활시설",127.0094745,37.4888633
"12840","서울특별시 서초구 서초동 1544-4","업무시설","사무소",127.0095802,37.4886515
"12841","서울특별시 서초구 서초동 1544-9","제2종근린생활시설","사무소",127.0095781,37.4893237
"12842","서울특별시 서초구 서초동 1544-10","제1종근린생활시설","제1종근린생활시설",127.0096827,37.4891092
"12843","서울특별시 서초구 서초동 1544-11","자동차관련시설","주차장",127.0097595,37.4889468
"12844","서울특별시 서초구 서초동 1544-12","제2종근린생활시설","사무소",127.0098536,37.4887556
"12845","서울특별시 서초구 서초동 1545-1","제1종근린생활시설","동사무소",127.0099602,37.4885592
"12846","서울특별시 서초구 서초동 1545-2","제1종근린생활시설","휴게음식점",127.0100301,37.4884012
"12847","서울특별시 서초구 서초동 1545-3","제1종근린생활시설","동사무소",127.0101229,37.4882281
"12848","서울특별시 서초구 서초동 1545-4","제2종근린생활시설","사무소",127.0101985,37.4880719
"12849","서울특별시 서초구 서초동 1545-5","제2종근린생활시설","사무소",127.0102617,37.4879067
"12850","서울특별시 서초구 서초동 1545-6","제2종근린생활시설","사무소",127.0103313,37.4877703
"12851","서울특별시 서초구 서초동 1545-7","업무시설","사무소",127.0100318,37.4876777
"12852","서울특별시 서초구 서초동 1545-8","제2종근린생활시설","사무소",127.0100758,37.4878574
"12853","서울특별시 서초구 서초동 1545-9","업무시설","사무소",127.0099295,37.4879751
"12854","서울특별시 서초구 서초동 1545-10","단독주택","다가구주택",127.0099179,37.4881651
"12855","서울특별시 서초구 서초동 1545-11","제2종근린생활시설","자동차영업소",127.0096932,37.4884813
"12856","서울특별시 서초구 서초동 1545-14","제1종근린생활시설","의원",127.0097058,37.4883039
"12857","서울특별시 서초구 서초동 1545-15","제1종근린생활시설","기타공공시설",127.0097781,37.4881333
"12858","서울특별시 서초구 서초동 1545-17","제1종근린생활시설","기타제1종근생활시설",127.0099325,37.4878282
"12859","서울특별시 서초구 서초동 1546-1","업무시설","사무소",127.0105364,37.4879153
"12860","서울특별시 서초구 서초동 1546-2","공동주택","기숙사",127.0107226,37.4879394
"12861","서울특별시 서초구 서초동 1546-3","제2종근린생활시설","사무소",127.0109474,37.4879566
"12862","서울특별시 서초구 서초동 1546-4","제2종근린생활시설","사무소",127.0109445,37.4881791
"12863","서울특별시 서초구 서초동 1546-7","공동주택","다세대주택",127.0110353,37.4883222
"12864","서울특별시 서초구 서초동 1546-8","공동주택","연립주택",127.0112363,37.4888627
"12865","서울특별시 서초구 서초동 1546-8","공동주택","연립주택",127.0112363,37.4888627
"12866","서울특별시 서초구 서초동 1546-13","공동주택","연립주택",127.0111105,37.4884526
"12867","서울특별시 서초구 서초동 1547-1","단독주택","단독주택",127.0102008,37.4885801
"12868","서울특별시 서초구 서초동 1547-3","제2종근린생활시설","사무소",127.0105587,37.4885354
"12869","서울특별시 서초구 서초동 1547-4","단독주택","다가구주택",127.0103836,37.4886078
"12870","서울특별시 서초구 서초동 1547-5","제2종근린생활시설","사무소",127.0101799,37.4887061
"12871","서울특별시 서초구 서초동 1547-6","제1종근린생활시설","소매점",127.0103356,37.4889039
"12872","서울특별시 서초구 서초동 1547-7","단독주택","다가구주택",127.0105103,37.4887783
"12873","서울특별시 서초구 서초동 1547-8","제2종근린생활시설","사무소",127.0106798,37.4887022
"12874","서울특별시 서초구 서초동 1547-9","단독주택","다가구주택",127.0107775,37.4888391
"12875","서울특별시 서초구 서초동 1547-10","공동주택","연립주택",127.0105177,37.4889865
"12876","서울특별시 서초구 서초동 1547-12","공동주택","연립주택",127.0106276,37.4891442
"12877","서울특별시 서초구 서초동 1547-14","제1종근린생활시설","제1종근린생활시설",127.0108963,37.4889996
"12878","서울특별시 서초구 서초동 1547-15","제2종근린생활시설","사무소",127.0109996,37.4891464
"12879","서울특별시 서초구 서초동 1547-16","공동주택","연립주택",127.0107229,37.4892882
"12880","서울특별시 서초구 서초동 1548-1","제2종근린생활시설","사무소",127.0097911,37.4893795
"12881","서울특별시 서초구 서초동 1548-2","공동주택","연립주택",127.0099581,37.489235
"12882","서울특별시 서초구 서초동 1548-3","제2종근린생활시설","학원",127.0099698,37.4890332
"12883","서울특별시 서초구 서초동 1548-4","제2종근린생활시설","일반음식점",127.0100356,37.4888428
"12884","서울특별시 서초구 서초동 1548-5","제1종근린생활시설","소매점",127.0101695,37.4889827
"12885","서울특별시 서초구 서초동 1548-6","공동주택","다세대주택",127.01011,37.48912
"12886","서울특별시 서초구 서초동 1548-8","제2종근린생활시설","사무소",127.0099366,37.4894087
